id_cliente;recencia_dias;frecuencia_boletas;monto_total;ticket_promedio;categorias_distintas;promo_rate;online_rate;segmento_programa;abandono;probabilidad_abandono;nivel_riesgo
C00067;24;4;324.424;81.106;3;0.25;0.25;Plata;1;0.8003035873652735;Alto
C00741;72;4;332.5435;83.135875;3;0.25;0.0;Bronce;0;0.8003035873652735;Alto
C01315;566;2;240.185;120.0925;2;0.5;0.0;Bronce;1;0.8003035873652735;Alto
C03926;232;2;271.281;135.6405;2;0.5;0.0;Black;1;0.8003035873652735;Alto
C00148;98;3;257.04;85.68;3;0.3333333333333333;0.0;Oro;0;0.8003035873652735;Alto
C03487;508;2;249.16;124.58;2;0.5;0.0;Bronce;1;0.8003035873652735;Alto
C02691;298;3;271.01;90.33666666666666;2;0.3333333333333333;0.0;Bronce;1;0.8003035873652735;Alto
C02300;287;3;339.884;113.29466666666667;3;0.3333333333333333;0.0;Black;1;0.8003035873652735;Alto
C01482;87;3;241.99;80.66333333333334;2;0.0;0.0;Bronce;1;0.8003035873652735;Alto
C00116;81;4;374.433;93.60825;4;0.5;0.0;Bronce;1;0.8003035873652735;Alto
C01856;144;4;352.48900000000003;88.12225000000001;4;0.75;0.0;Bronce;1;0.8003035873652735;Alto
C01711;66;3;270.46999999999997;90.15666666666665;3;0.0;0.0;Oro;1;0.8003035873652735;Alto
C03911;520;2;264.56;132.28;2;0.0;0.0;Plata;1;0.8003035873652735;Alto
C03597;75;3;287.334;95.778;3;0.3333333333333333;0.0;Bronce;1;0.8003035873652735;Alto
C03421;148;3;359.5575;119.8525;2;0.3333333333333333;0.0;Plata;1;0.8003035873652735;Alto
C03094;44;3;267.693;89.231;3;0.3333333333333333;0.0;Oro;0;0.8003035873652735;Alto
C01698;300;3;268.492;89.49733333333334;3;0.3333333333333333;0.0;Plata;1;0.8003035873652735;Alto
C01623;277;3;242.13;80.71;3;0.0;0.0;Oro;1;0.8003035873652735;Alto
C02357;102;1;240.36;240.36;1;0.0;0.0;Bronce;1;0.8003035873652735;Alto
C01430;130;3;273.3;91.10000000000001;3;0.0;0.0;Bronce;1;0.8003035873652735;Alto
C00470;76;2;280.2;140.1;2;0.0;0.0;Bronce;1;0.8003035873652735;Alto
C00715;57;3;303.27;101.08999999999999;2;0.0;0.0;Plata;1;0.8003035873652735;Alto
C02428;189;4;387.235;96.80875;4;0.5;0.0;Bronce;1;0.8003035873652735;Alto
C00224;29;4;378.48249999999996;94.62062499999999;3;0.25;0.0;Bronce;0;0.8003035873652735;Alto
C02647;39;3;300.37899999999996;100.12633333333332;3;0.6666666666666666;0.0;Oro;1;0.8003035873652735;Alto
C04264;28;3;323.77;107.92333333333333;3;0.0;0.0;Bronce;0;0.8003035873652735;Alto
C04262;105;3;246.16;82.05333333333333;2;0.0;0.0;Bronce;1;0.8003035873652735;Alto
C02316;298;3;295.38;98.46;2;0.0;0.0;Bronce;1;0.8003035873652735;Alto
