id_cliente;segmento_rfm;cluster;recencia;frecuencia;monto;margen;ticket_promedio;categorias_distintas;online_rate;segmento_programa;distrito
C00001;En riesgo;1;444;3;216.69;102.07000000000002;72.23;3;0.0;Oro;Trujillo
C00002;En riesgo;1;156;4;74.6375;22.2175;18.659375;3;0.0;Bronce;Comas
C00003;En riesgo;1;94;3;231.35799999999998;63.287999999999975;77.11933333333333;3;0.0;Plata;Cusco
C00005;En riesgo;1;654;1;4.928000000000001;1.2180000000000009;4.928000000000001;1;1.0;Plata;Surco
C00006;Ocasionales;3;24;7;190.381;49.870999999999995;27.197285714285716;3;0.0;Bronce;Chiclayo
C00007;Leales de valor;2;49;9;417.20799999999997;103.878;46.35644444444444;5;0.0;Bronce;San Isidro
C00008;Ocasionales;3;8;8;341.96;102.22999999999999;42.745;7;0.0;Plata;Callao
C00009;Campeones;0;151;38;1776.975;578.805;46.762499999999996;10;0.13157894736842105;Black;Arequipa
C00010;En riesgo;1;268;1;19.99;5.339999999999998;19.99;1;1.0;Plata;Los Olivos
C00011;En riesgo;1;108;3;141.97;48.260000000000005;47.32333333333333;3;0.0;Bronce;Los Olivos
C00012;En riesgo;1;76;4;79.00800000000001;23.608000000000004;19.752000000000002;3;0.0;Plata;Ate
C00013;Campeones;0;122;34;1167.857;313.72700000000003;34.348735294117645;10;0.029411764705882353;Bronce;Los Olivos
C00014;En riesgo;1;531;2;83.682;25.052;41.841;2;0.0;Bronce;Huancayo
C00015;Ocasionales;3;13;12;771.574;252.194;64.29783333333333;7;0.0;Bronce;Comas
C00016;En riesgo;1;101;3;137.396;49.855999999999995;45.79866666666666;2;0.0;Plata;San Isidro
C00017;En riesgo;1;452;3;171.76999999999998;48.29999999999999;57.25666666666666;2;0.0;Plata;Surco
C00018;Leales de valor;2;150;14;645.822;176.132;46.13014285714286;7;0.21428571428571427;Oro;Piura
C00019;Ocasionales;3;26;8;391.6975;129.6375;48.9621875;6;0.0;Bronce;Piura
C00020;Leales de valor;2;314;10;278.5995;74.6995;27.859949999999998;6;0.0;Bronce;Los Olivos
C00021;En riesgo;1;37;1;34.62;9.579999999999998;34.62;1;0.0;Plata;Piura
C00022;Leales de valor;2;294;5;277.28;94.48;55.455999999999996;3;0.0;Plata;Miraflores
C00023;Ocasionales;3;4;7;230.488;49.29799999999999;32.926857142857145;4;0.14285714285714285;Plata;Callao
C00024;Campeones;0;22;83;3217.229;986.609;38.76179518072289;10;0.12048192771084337;Bronce;Comas
C00026;Ocasionales;3;33;6;273.9995;74.89950000000002;45.666583333333335;4;0.16666666666666666;Plata;Ate
C00027;Campeones;0;15;27;1084.0715;352.70149999999995;40.1507962962963;8;0.14814814814814814;Bronce;San Isidro
C00028;Ocasionales;3;5;5;218.20999999999998;89.89999999999999;43.641999999999996;2;0.4;Bronce;Callao
C00029;En riesgo;1;495;2;91.19999999999999;25.220000000000002;45.599999999999994;2;0.0;Oro;San Miguel
C00030;Campeones;0;16;101;4176.691;1399.051;41.35337623762376;10;0.09900990099009901;Bronce;Comas
C00031;Leales de valor;2;129;13;457.2675;142.76749999999998;35.17442307692308;7;0.23076923076923078;Plata;Chiclayo
C00032;Ocasionales;3;26;16;501.491;175.27100000000002;31.3431875;7;0.0;Plata;San Miguel
C00033;Leales de valor;2;187;7;163.896;59.756;23.413714285714285;7;0.14285714285714285;Plata;Comas
C00034;Campeones;0;2;44;1704.538;633.378;38.7395;8;0.11363636363636363;Bronce;Comas
C00035;En riesgo;1;197;4;84.13;18.130000000000003;21.0325;4;0.25;Bronce;Cusco
C00036;En riesgo;1;127;3;86.918;26.908;28.97266666666667;3;0.0;Bronce;Arequipa
C00037;En riesgo;1;191;4;148.202;35.591999999999985;37.0505;4;0.0;Bronce;Ate
C00038;Leales de valor;2;331;6;342.8345;98.42450000000001;57.13908333333333;5;0.16666666666666666;Bronce;Arequipa
C00039;Ocasionales;3;36;5;195.42000000000002;67.5;39.084;4;0.0;Bronce;Trujillo
C00040;Leales de valor;2;116;5;213.68200000000002;69.692;42.7364;4;0.0;Black;Los Olivos
C00041;En riesgo;1;171;3;158.3;41.4;52.76666666666667;3;0.0;Bronce;Ate
C00042;Ocasionales;3;22;7;361.598;123.50800000000004;51.65685714285714;5;0.0;Plata;Arequipa
C00043;Leales de valor;2;41;7;143.14000000000001;49.39;20.44857142857143;3;0.0;Bronce;Cusco
C00044;Campeones;0;37;19;691.447;232.367;36.39194736842105;9;0.15789473684210525;Oro;Comas
C00045;Ocasionales;3;17;8;164.7295;50.0595;20.5911875;7;0.0;Bronce;Arequipa
C00046;Ocasionales;3;9;14;587.628;143.298;41.97342857142858;6;0.07142857142857142;Bronce;La Molina
