id_venta;fecha;id_cliente;id_producto;id_tienda;id_promocion;cantidad;precio_unitario;descuento
V0027569;28/08/2025;C01502;P0162;T015;PR000;1;37.62;0.0
V0018420;27/09/2025;C00706;P0362;T002;PR000;1;5.62;0.0
V0010328;12/12/2024;C04281;P0113;T014;PR000;1;48.35;0.0
V0018216;2025-12-29;C01722;P0151;T009;PR000;1;12.68;0.0
V0019843;2024-10-03;C02654;P0186;T011;PR000;1;11.86;0.0
V0029846;27/05/2024;C01351;P0331;T001;PR000;2;6.85;0.0
V0021529;2024-11-17;C00556;P0350;T003;PR000;1;20.67;0.0
V0001888;2025-10-16;C02290;P0357;T009;PR000;3;12.82;0.0
V0012778;2024-02-22;C02324;P0227;T007;PR029;1;36.83;0.2
V0027702;2024-04-10;C02991;P0251;T001;PR000;4;26.97;0.0
V0026745;2024-02-01;C02105;P0163;T014;PR000;2;39.27;0.0
V0001234;2025-04-02;C01011;P0237;T013;PR000;2;32.7;0.0
V0007360;07 de September de 2025;C00996;P0491;T008;PR000;2;24.01;0.0
V0021060;07/11/2024;C02575;P0146;T011;PR000;1;27.59;0.0
V0010308;23/03/2024;C02506;P0281;T015;PR000;1;33.78;0.0
V0024520;16/10/2024;C01210;P0480;T009;PR036;5;30.36;0.15
V0015564;2024-09-24;C00264;P0364;T013;PR000;1;30.4;0.0
V0019758;2025-05-04;C01135;P0491;T005;PR006;2;24.25;0.2
V0009428;11/05/2025;C03619;P0026;T015;PR006;1;28.44;0.2
V0013019;04/04/2024;C03103;P0467;T004;PR000;1;9.7;0.0
V0003877;2024-11-21;C02697;P0421;T001;PR000;2;19.72;0.0
V0011083;04/05/2025;C02216;P0181;T004;PR000;1;29.64;0.0
V0029613;2024-07-20;C03937;P0292;T013;PR000;1;16.98;0.0
V0023785;2024-11-11;C00018;P0128;T015;PR030;1;64.2;0.15
V0027092;2025-04-11;C01675;P0201;T006;PR000;2;26.05;0.0
V0011768;2024-11-08;C03401;P0125;T003;PR000;1;20.13;0.0
V0011957;2024-01-25;C03790;P0286;T001;PR000;2;21.16;
V0019324;2024-07-04;C04094;P0367;T004;PR000;2;46.15;0.0
V0000855;27/07/2025;C00706;P0034;T011;PR000;1;22.67;0.0
V0026035;15/07/2024;C04259;P0438;T013;PR004;3;19.37;0.1
V0005902;2025-08-26;C00234;P0273;T004;PR000;1;31.09;0.0
V0003587;2024-12-16;C04479;P0009;T003;PR000;1;13.9;0.0
V0016348;2024-12-19;C04229;P0407;T003;PR000;2;19.14;0.0
V0002452;2025-07-25;C02285;P0046;T003;PR000;2;10.65;0.0
V0014067;2024-10-23;C01345;P0221;T002;PR000;25;18.15;0.0
V0022843;2024-07-11;C00209;P0034;T004;PR000;1;20.48;0.0
V0012303;2024-04-05;C04172;P0120;T010;PR031;2;56.11;
V0025844;27/05/2025;C04634;P0456;T004;PR000;4;16.65;0.0
V0013794;17/12/2024;C02100;P0060;T004;PR000;2;17.68;0.0
V0001050;19/08/2025;C03246;P0400;T005;PR014;1;11.26;0.05
V0000543;12/12/2024;C01074;P0400;T009;PR019;2;11.4;0.1
V0022090;2024-11-17;C02587;P0271;T009;PR010;1;7.4;0.15
V0019595;2024-08-11;C02294;P0148;T015;PR000;5;6.24;0.0
V0001712;18/06/2024;C04382;P0227;T010;PR000;4;38.38;0.0
V0018764;06/09/2025;C04798;P0073;T005;PR000;1;35.77;0.0
V0015722;27/03/2024;C03717;P0148;T004;PR000;1;6.52;0.0
V0029448;2025-11-06;C00839;P0133;T006;PR000;1;24.26;0.0
V0029758;2024-01-22;C02654;P0163;T015;PR000;1;36.64;0.0
V0025206;17/01/2025;C03320;P0500;T010;PR000;1;39.67;0.0
V0000274;19/02/2024;C02452;P0480;T004;PR000;1;29.63;0.0
V0008185;29/07/2025;C01502;P0135;T002;PR000;2;12.51;0.0
V0004510;2024-06-27;C02852;P0364;T003;PR020;2;31.62;0.2
V0015311;2025-02-25;C01864;P0321;T014;PR000;2;31.87;0.0
V0018105;09/05/2025;C00081;P0256;T007;PR000;2;33.01;0.0
V0007237;2024-06-01;C03774;P0271;T014;PR000;2;7.67;
V0025782;09/08/2025;C02587;P0367;T012;PR000;1;47.89;0.0
V0007522;05/12/2024;C01740;P0075;T014;PR000;1;4.06;0.0
V0017436;2024-01-11;C02184;P0407;T003;PR003;5;18.57;0.2
V0019525;2024-12-25;C01376;P0311;T008;PR000;3;30.29;0.0
V0014623;22/08/2025;C02469;P0001;T005;PR000;2;11.29;0.0
V0028180;2024-11-29;C03647;P0339;T010;PR000;2;9.34;0.0
V0010688;19/07/2025;C03887;P0185;T011;PR000;2;18.89;0.0
V0024790;2025-06-22;C01942;P0089;T010;PR040;1;25.28;0.2
V0019235;12/12/2024;C00860;P0281;T010;PR000;1;32.2;0.0
V0019481;31 de August de 2024;C00334;P0025;T004;PR000;1;16.49;
V0027266;2025-07-05;C00710;P0102;T008;PR000;4;17.53;0.0
V0008884;2024-10-12;C00824;P0075;T008;PR000;2;3.99;0.0
V0026689;2024-05-26;C01924;P0301;T014;PR000;2;35.72;0.0
V0017336;29/08/2024;C00706;P0255;T002;PR000;2;16.6;0.0
V0005183;2025-10-18;C00200;P0216;T005;PR000;3;28.04;0.0
V0026374;2024-07-31;C02100;P0407;T015;PR000;3;17.82;0.0
V0024159;2024-07-09;C00229;P0088;T001;PR000;3;12.86;0.0
V0003026;2024-04-27;C02418;P0023;T014;PR009;2;24.58;
V0004544;2024-02-16;C04803;P0263;T001;PR037;2;11.04;0.25
V0018413;20/12/2025;C02181;P0492;T001;PR000;1;29.72;0.0
V0003344;28/01/2025;C01475;P0362;T013;PR000;1;6.07;0.0
V0006693;06/07/2025;C00107;P0464;T012;PR000;1;12.97;
V0013580;26 de July de 2025;C02654;P0181;T010;PR000;4;28.53;0.0
V0001648;29/09/2024;C01343;P0107;T012;PR000;5;17.27;0.0
V0011658;11/08/2025;C01068;P0114;T001;PR000;2;13.51;0.0
V0007809;13/12/2025;C02587;P0034;T003;PR000;1;23.07;0.0
V0029754;12 de July de 2025;C03935;P0183;T009;PR000;6;14.97;0.0
V0029431;27/06/2025;C04360;P0471;T009;PR040;1;15.14;0.2
V0026840;01/12/2024;C02727;P0494;T014;PR000;1;19.43;0.0
V0006208;2025-09-17;C00518;P0186;T003;PR000;1;11.96;0.0
V0029899;2024-03-21;C01778;P0378;T014;PR007;1;8.26;0.25
V0025135;2025-07-15;C00009;P0318;T014;PR000;1;21.22;0.0
V0017996;06/10/2024;C00747;P0198;T006;PR000;5;68.08;0.0
V0019238;25/02/2025;C03600;P0304;T006;PR000;1;14.76;0.0
V0022042;2025-04-05;C02469;P0409;T010;PR016;2;32.57;0.05
V0001555;21/01/2024;C01158;P0372;T005;PR024;1;12.1;0.1
V0016832;2025-07-03;C01056;P0461;T012;PR000;1;14.32;0.0
V0021536;03/05/2025;C02414;P0481;T007;PR006;1;19.76;0.2
V0011283;2025-10-05;C03653;P0301;T005;PR022;3;34.29;0.15
V0010787;01/09/2025;C02610;P0250;T007;PR000;1;21.89;0.0
V0021724;05/10/2025;C02484;P0298;T013;PR022;1;42.56;0.15
V0003921;2024-09-20;C04652;P0356;T011;PR000;1;37.2;0.0
V0003286;2024-12-19;C04768;P0038;T015;PR000;2;32.57;0.0
V0024105;08/05/2024;C03883;P0381;T015;PR000;1;27.22;0.0
V0028277;04/06/2024;C02205;P0322;T005;PR000;4;18.26;0.0
V0019132;23 de September de 2024;C00795;P0246;T013;PR000;2;25.44;0.0
V0012688;25/07/2025;C02234;P0208;T015;PR000;1;25.18;0.0
V0010696;12 de March de 2025;C02561;P0331;T001;PR000;1;7.13;
V0007283;2024-04-12;C02697;P0362;T014;PR000;1;6.02;
V0027878;15/08/2024;C04210;P0129;T015;PR039;5;19.45;0.05
V0006111;02/10/2025;C04257;P0484;T012;PR022;2;32.5;0.15
V0022084;24 de September de 2024;C00699;P0500;T005;PR000;5;38.44;0.0
V0019849;2024-04-03;C00241;P0130;T014;PR000;3;20.97;0.0
V0006597;14/08/2024;C02236;P0372;T005;PR039;1;10.55;0.05
V0012659;17 de August de 2025;C03196;P0046;T014;PR000;3;11.15;0.0
V0015331;28/12/2024;C03259;P0386;T009;PR000;4;8.17;0.0
V0017942;2024-05-27;C00643;P0135;T013;PR000;1;12.91;0.0
V0029885;22/08/2024;C02916;P0292;T011;PR000;1;16.96;0.0
V0021427;2025-12-10;C00634;P0496;T008;PR000;2;27.46;0.0
V0017320;30/11/2024;C03317;P0318;T008;PR000;1;22.78;0.0
V0004814;05/12/2024;C03050;P0107;T010;PR019;1;17.72;0.1
V0001262;2024-05-12;C02850;P0467;T007;PR000;1;10.19;0.0
V0004409;2024-08-16;C00656;P0143;T004;PR000;1;9.64;0.0
V0021465;2025-08-23;C00217;P0133;T001;PR005;4;23.86;0.15
V0011116;2025-08-01;C01056;P0105;T008;PR000;4;25.96;0.0
V0009999;02/12/2024;C04267;P0071;T001;PR000;3;18.43;0.0
V0026715;31/10/2025;C03250;P0049;T008;PR000;1;38.09;0.0
V0000933;21/10/2024;C01616;P0069;T002;PR036;2;18.18;0.15
V0000200;25 de January de 2024;C02352;P0258;T010;PR000;4;18.24;0.0
V0011754;23/09/2024;C04636;P0465;T002;PR000;1;15.61;0.0
V0019416;06/11/2025;C04611;P0001;T009;PR001;3;12.12;0.05
V0019308;2025-07-19;C02551;P0042;T003;PR000;3;8.61;0.0
V0023786;2025-05-25;C01126;P0271;T006;PR000;1;7.73;0.0
V0002706;2025-08-24;C04748;P0144;T002;PR000;1;35.59;0.0
V0014177;2025-06-24;C01832;P0001;T002;PR040;1;11.91;0.2
V0026262;2024-07-18;C00575;P0298;T014;PR000;1;38.41;0.0
V0017407;16/12/2024;C00526;P0186;T005;PR000;1;11.58;0.0
V0025884;18/05/2025;C02606;P0377;T008;PR002;1;32.83;0.2
V0027535;2025-03-19;C02915;P0001;T007;PR016;5;11.77;0.05
V0001220;24/10/2025;C03121;P0140;T008;PR000;1;7.4;0.0
V0027632;2024-12-19;C00382;P0318;T002;PR019;1;266.88;0.1
V0002998;2024-06-01;C02321;P0046;T004;PR000;2;10.7;0.0
V0018692;30/06/2024;C00229;P0458;T004;PR004;6;76.37;0.1
V0016295;2025-09-21;C00469;P0400;T014;PR000;1;11.63;0.0
V0027888;2024-01-07;C00916;P0486;T003;PR000;2;17.41;0.0
V0006399;12/10/2025;C03050;P0426;T008;PR000;1;11.9;0.0
V0011361;17 de February de 2024;C03276;P0153;T003;PR000;4;12.57;0.0
V0029651;30/10/2024;C00066;P0439;T006;PR000;6;29.51;0.0
V0001507;2025-08-12;C00692;P0446;T010;PR000;3;26.28;0.0
V0018657;11/11/2024;C02237;P0030;T001;PR030;3;29.66;0.15
V0011064;2025-08-30;C00706;P0246;T006;PR000;1;24.86;0.0
V0014581;01/04/2024;C01391;P0350;T008;PR031;2;19.78;0.1
V0018281;08/01/2025;C04561;P0327;T012;PR000;3;40.03;
V0011201;14/03/2025;C01502;P0357;T014;PR000;5;14.22;
V0002749;2024-03-26;C04723;P0270;T011;PR000;1;10.9;0.0
V0003735;2024-09-15;C00536;P0288;T003;PR000;2;16.41;0.0
V0023523;2025-05-17;C03182;P0254;T014;PR000;3;37.16;0.0
V0016966;21/12/2025;C00334;P0009;T006;PR000;2;13.84;0.0
V0014896;2025-09-22;C04451;P0221;T005;PR022;1;17.28;0.15
V0017197;2025-01-13;C02747;P0161;T006;PR000;4;12.87;0.0
V0001883;2025-02-24;C04901;P0414;T015;PR000;2;21.74;0.0
V0014294;03/10/2025;C02906;P0299;T015;PR000;4;19.24;0.0
V0022434;12/10/2025;C04278;P0255;T004;PR000;1;16.55;0.0
V0004319;2025-08-14;C02400;P0394;T004;PR000;2;19.31;0.0
V0005922;26/08/2025;C04636;P0103;T003;PR005;1;17.01;0.15
V0018792;2025-10-20;C03232;P0318;T009;PR000;1;21.23;0.0
V0026374;2024-04-12;C03457;P0132;T006;PR009;1;14.98;0.25
V0014504;2024-08-07;C01502;P0222;T013;PR000;2;14.18;0.0
V0010303;04/02/2025;C01847;P0281;T015;PR000;1;32.28;0.0
V0001464;31/05/2024;C01843;P0071;T010;PR000;1;20.04;0.0
V0023015;2025-01-02;C04521;P0205;T005;PR000;1;7.45;0.0
V0016429;06/05/2025;C04818;P0461;T004;PR000;1;14.2;0.0
V0013928;04/09/2025;C01091;P0121;T015;PR000;1;40.11;0.0
V0018365;2025-08-22;C01371;P0368;T010;PR000;1;13.06;0.0
V0005651;2024-02-10;C04839;P0296;T015;PR000;1;15.92;0.0
V0004931;10/12/2024;C02268;P0161;T015;PR000;1;12.74;0.0
V0026911;17/01/2024;C00228;P0276;T013;PR000;2;39.05;0.0
V0023434;2025-10-26;C00706;P0293;T005;PR000;3;24.79;0.0
V0001134;2024-05-29;C03182;P0246;T011;PR000;1;24.45;0.0
V0022984;20/04/2025;C01236;P0362;T013;PR000;2;6.0;0.0
V0028877;2025-03-02;C03239;P0147;T015;PR000;1;13.55;0.0
V0006957;20/04/2025;C00926;P0085;T004;PR000;2;13.94;
V0012503;23/02/2025;C00107;P0006;T009;PR000;4;14.89;0.0
V0025601;2025-06-30;C02917;P0270;T009;PR000;2;11.38;0.0
V0010998;2025-04-21;C00180;P0152;T012;PR000;1;16.62;0.0
V0008560;2024-03-23;C04867;P0222;T008;PR000;4;13.59;0.0
V0009635;10 de October de 2024;C04396;P0111;T002;PR036;1;17.78;0.15
V0019887;06 de February de 2025;C03600;P0432;T001;PR034;1;16.19;0.05
V0012235;2024-09-01;C03520;P0364;T015;PR000;1;30.03;0.0
V0019399;2025-07-20;C02095;P0224;T003;PR000;1;38.38;0.0
V0024794;2024-08-26;C04042;P0152;T003;PR000;1;17.67;0.0
V0005940;04/09/2025;C01091;P0153;T005;PR000;1;13.17;0.0
V0027559;2024-05-08;C01502;P0362;T006;PR000;1;6.15;0.0
V0014517;24/07/2025;C01502;P0304;T005;PR000;1;14.23;0.0
V0023760;05/06/2024;C01021;P0183;T001;PR000;1;15.75;0.0
V0004941;2025-01-21;C04085;P0283;T007;PR000;3;8.6;0.0
